Godina,Osobe koje žive ispod 50% medijana dohotka prema spolu i dobi (%),Muški,Ženski,manje od 18 godina,18-64 godine,više od 65 godina,
2010,13.4,12.9,13.8,12.8,12.0,19.2,
2011,14.0,13.6,14.3,14.5,12.8,17.8,
2012,14.1,13.8,14.4,16.5,12.7,16.5,
2013,13.5,13.4,13.7,14.8,12.9,14.4,
2014,13.4,13.1,13.6,15.2,12.6,14.3,
2015,13.5,13.1,13.9,14.1,12.5,16.3,
2016,13.5,13.0,13.9,14.6,12.0,17.2,
2017,13.4,12.8,14.0,13.8,11.7,18.9,
2018,13.6,12.8,14.4,14.3,11.5,19.9,
2019,12.2,11.4,13.0,10.8,9.9,20.6,
2020,12.5,11.3,13.6,11.5,10.0,20.8,
2021,12.7,11.4,14.0,10.9,10.3,21.5,
2022,12.2,10.9,13.5,10.6,9.2,21.7,
2023,13.0,11.3,14.7,9.9,9.8,24.3,Prekid u vremenskoj seriji: U 2023. za dio prikupljenih podataka o dohotku korišteni su administrativni izvori podataka.
